condition,rep,seed,model_spec,n_models,n_items,target_corr,true_effect,rho_model_true,slope_sd_true,tau_model_true,tau_item_true,fit_error,generated_rows,p_min,p_max,pct_below_low,pct_above_high,near_separation,realized_corr,gamma_x,rho_model_target,rho_model_realized,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component_reported,singular_component_reclassified
s0p1_m0p15_i0p03,4,92619004,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.03,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116798,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1787,0.1067,0.0938,-0.0303,0.3878,False,0.0787,True,0.0073,0.0803,1.0,0.0,5.9028e-11,"[0, 0.0073, 0.0803, 0.0001]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p15,4,92619004,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.15,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116798,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.267,0.1068,0.0124,0.0577,0.4763,True,0.167,True,0.0399,0.0694,1.0,0.0,2.1684e-19,"[0, 0.0399, 0.0694, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p03,5,92619005,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.33824108862216035,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1213,0.1079,0.2613,-0.0903,0.3328,False,0.0213,True,0.0668,0.1082,-1.0,0.0,0.0,"[0, 0.0668, -0.1082, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p03_i0p15,5,92619005,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.33824108862216035,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1416,0.1053,0.1787,-0.0648,0.348,False,0.0416,True,0.0,2.6043e-07,,0.184,0.0,"[0.184, 0, 2.5368e-07, 5.8895e-08]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p02_m0p15_i0p03,5,92619005,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.03,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.33824108862216035,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1362,0.1056,0.1971,-0.0707,0.3431,False,0.0362,True,0.1019,0.0569,-1.0,0.0,0.0,"[0, 0.1019, -0.0569, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p15,5,92619005,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.15,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.33824108862216035,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1518,0.1067,0.1549,-0.0574,0.3609,False,0.0518,True,0.1282,0.0794,-1.0,0.1798,8.6736e-19,"[0.1798, 0.1282, -0.0794, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p03_i0p03,5,92619005,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.03,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.3382410886221603,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1402,0.1053,0.1828,-0.0661,0.3465,False,0.0402,True,0.0,1.0975e-07,,0.0,0.0,"[0, 0, 1.0975e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p1_m0p03_i0p15,5,92619005,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.15,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.3382410886221603,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.138,0.1058,0.1923,-0.0695,0.3454,False,0.038,True,0.0193,0.0382,-1.0,0.1972,0.0,"[0.1972, 0.0193, -0.0382, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p03,5,92619005,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.03,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.3382410886221603,True,False,[],,0.1356,0.109,0.2135,-0.078,0.3492,False,0.0356,True,0.0976,0.1183,-0.7997,0.041,0.0023,"[0.041, 0.0976, -0.0946, 0.071]","[0, 0, ""-Inf"", 0]",non_singular,non_singular
s0p1_m0p15_i0p15,5,92619005,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.15,,2400,0.07830165202492452,0.9537759664572919,0.0,0.08333333333333333,False,0.5806614327328993,1.9810822914976458,0.3,0.3382410886221603,True,False,[],,0.1131,0.1163,0.3309,-0.1149,0.3411,False,0.0131,True,0.1134,0.2141,-0.2494,0.168,0.0118,"[0.168, 0.1134, -0.0534, 0.2073]","[0, 0, ""-Inf"", 0]",non_singular,non_singular
s0p02_m0p03_i0p03,6,92619006,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.07571010545022964,0.9738619457219082,0.0,0.08333333333333333,False,0.5956463370993279,2.329243525230694,0.3,0.42979412899410513,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1501,0.11,0.1726,-0.0656,0.3657,False,0.0501,True,0.0,0.1317,,0.0,0.0,"[0, 0, 0.1244, 0.0431]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
s0p02_m0p03_i0p15,6,92619006,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.07571010545022964,0.9738619457219082,0.0,0.08333333333333333,False,0.5956463370993279,2.329243525230694,0.3,0.42979412899410513,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.0952,0.107,0.3739,-0.1146,0.3049,False,-0.0048,True,0.0,0.0746,,3.4914e-07,0.0,"[3.4914e-07, 0, -0.014, 0.0733]","[0, 0, ""-Inf"", 0]",model_intercept_sd_zero,model_intercept_sd_zero
