model_id,n,n_self,self_prop,y_mean,X_mean,context_mean,n_control,both_levels,self_within_ss,rep,seed
9,100,26,0.26,0.61,-0.41118178015657314,-0.20236472704900593,74,True,19.24,8,92620008
10,100,87,0.87,0.66,0.7937626534800105,-0.20236472704900593,13,True,11.31,8,92620008
11,100,89,0.89,0.71,1.0447472619420015,-0.20236472704900593,11,True,9.79,8,92620008
12,100,49,0.49,0.6,0.12475103755749295,-0.20236472704900593,51,True,24.990000000000002,8,92620008
13,100,10,0.1,0.48,-1.0597348916470697,-0.20236472704900593,90,True,9.0,8,92620008
14,100,81,0.81,0.61,0.6219226102485393,-0.20236472704900593,19,True,15.389999999999995,8,92620008
15,100,53,0.53,0.64,0.11207562052437581,-0.20236472704900593,47,True,24.91,8,92620008
16,100,54,0.54,0.55,0.1488689887541934,-0.20236472704900593,46,True,24.839999999999996,8,92620008
17,100,67,0.67,0.63,0.42709687346095393,-0.20236472704900593,33,True,22.109999999999996,8,92620008
18,100,18,0.18,0.62,-0.7141858848144409,-0.20236472704900593,82,True,14.760000000000002,8,92620008
19,100,4,0.04,0.56,-1.6025853608174605,-0.20236472704900593,96,True,3.84,8,92620008
20,100,85,0.85,0.65,0.9568605267562179,-0.20236472704900593,15,True,12.750000000000002,8,92620008
21,100,56,0.56,0.61,0.08275575047955108,-0.20236472704900593,44,True,24.64,8,92620008
22,100,78,0.78,0.66,0.8056682286263753,-0.20236472704900593,22,True,17.159999999999997,8,92620008
23,100,29,0.29,0.58,-0.39707410835290347,-0.20236472704900593,71,True,20.589999999999996,8,92620008
0,100,17,0.17,0.64,-0.7462007492476898,0.03916794789778897,83,True,14.11,9,92620009
1,100,18,0.18,0.62,-0.776021291577198,0.03916794789778897,82,True,14.760000000000002,9,92620009
2,100,26,0.26,0.57,-0.452100046540453,0.03916794789778897,74,True,19.24,9,92620009
3,100,23,0.23,0.48,-0.7170016252106121,0.03916794789778897,77,True,17.71,9,92620009
4,100,87,0.87,0.7,0.5691395797806571,0.03916794789778897,13,True,11.31,9,92620009
5,100,36,0.36,0.52,-0.2851456967832391,0.03916794789778897,64,True,23.04,9,92620009
6,100,35,0.35,0.66,-0.33155079367415574,0.03916794789778897,65,True,22.75,9,92620009
7,100,79,0.79,0.66,0.5856044117969592,0.03916794789778897,21,True,16.589999999999996,9,92620009
8,100,65,0.65,0.62,0.1855602426376528,0.03916794789778897,35,True,22.75,9,92620009
9,100,22,0.22,0.6,-0.7305920707172966,0.03916794789778897,78,True,17.16,9,92620009
10,100,95,0.95,0.66,1.6153898011973258,0.03916794789778897,5,True,4.750000000000004,9,92620009
11,100,9,0.09,0.61,-1.028468431844276,0.03916794789778897,91,True,8.19,9,92620009
12,100,16,0.16,0.62,-0.6136208095113123,0.03916794789778897,84,True,13.44,9,92620009
13,100,88,0.88,0.67,0.7545656577217682,0.03916794789778897,12,True,10.559999999999999,9,92620009
14,100,21,0.21,0.56,-0.45036957184378323,0.03916794789778897,79,True,16.59,9,92620009
15,100,66,0.66,0.73,0.5399352996415896,0.03916794789778897,34,True,22.439999999999998,9,92620009
16,100,11,0.11,0.57,-0.9851193552171634,0.03916794789778897,89,True,9.790000000000001,9,92620009
17,100,35,0.35,0.65,-0.4106302546282823,0.03916794789778897,65,True,22.75,9,92620009
18,100,90,0.9,0.61,1.0939970701624464,0.03916794789778897,10,True,8.999999999999998,9,92620009
19,100,10,0.1,0.57,-0.926806499594994,0.03916794789778897,90,True,9.0,9,92620009
20,100,43,0.43,0.56,-0.15102172096320388,0.03916794789778897,57,True,24.51,9,92620009
21,100,70,0.7,0.62,0.5324261119540967,0.03916794789778897,30,True,21.000000000000004,9,92620009
22,100,94,0.94,0.78,1.2293596205778936,0.03916794789778897,6,True,5.640000000000005,9,92620009
23,100,96,0.96,0.76,1.4986711218832658,0.03916794789778897,4,True,3.8400000000000034,9,92620009
0,100,23,0.23,0.55,-0.8293478490538729,0.18570343064922587,77,True,17.71,10,92620010
1,100,94,0.94,0.63,1.2050784405371129,0.18570343064922587,6,True,5.640000000000005,10,92620010
2,100,94,0.94,0.62,0.9762831455958451,0.18570343064922587,6,True,5.640000000000005,10,92620010
3,100,7,0.07,0.54,-1.1060386256554136,0.18570343064922587,93,True,6.510000000000001,10,92620010
4,100,58,0.58,0.68,0.1649335193411936,0.18570343064922587,42,True,24.36,10,92620010
5,100,68,0.68,0.73,0.18885083356695276,0.18570343064922587,32,True,21.759999999999998,10,92620010
6,100,65,0.65,0.61,0.3210013692762157,0.18570343064922587,35,True,22.75,10,92620010
7,100,89,0.89,0.72,0.8025886405728516,0.18570343064922587,11,True,9.79,10,92620010
8,100,7,0.07,0.52,-1.0881831033977143,0.18570343064922587,93,True,6.510000000000001,10,92620010
9,100,16,0.16,0.62,-0.6126362797884735,0.18570343064922587,84,True,13.44,10,92620010
10,100,83,0.83,0.73,0.793115348737251,0.18570343064922587,17,True,14.110000000000003,10,92620010
11,100,8,0.08,0.58,-1.0051305065909357,0.18570343064922587,92,True,7.36,10,92620010
12,100,53,0.53,0.62,0.031910724900194865,0.18570343064922587,47,True,24.91,10,92620010
13,100,10,0.1,0.6,-1.0904532204930764,0.18570343064922587,90,True,9.0,10,92620010
14,100,75,0.75,0.69,0.6085476193495722,0.18570343064922587,25,True,18.75,10,92620010
