rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
15,92623015,P6_D_HIGH_RHO30,100,400,0.3,False,False,True,True,0.0744,0.0748,0.0231,0.0213,-0.0256,-0.0252,0.0833,0.0525,0.1005,0.0482,0.0367,0.0361,-0.7496,NA,0.002,0.0023,False,False,False,False,False,False,False,False,both_nonsingular,0.00040000000000001146,-0.0017999999999999995
16,92623016,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1433,0.1438,0.0853,0.0848,0.0433,0.0438,0.0727,0.05,0.0432,0.0,0.1583,0.1586,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.0005000000000000004,-0.0005000000000000004
16,92623016,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1356,0.136,0.0849,0.0848,0.0356,0.036,0.0779,0.0678,0.0201,0.0,0.168,0.1681,-1,NA,1.4193e-15,0.0,False,True,False,False,False,False,True,False,both_singular,0.00040000000000001146,-0.00010000000000000286
16,92623016,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0911,0.0911,0.0211,0.0211,-0.0089,-0.0089,0.0,4.24e-07,0.0345,0.0345,0.026,0.026,NaN,NA,0.0,1.7978e-13,False,False,True,True,False,False,False,False,both_singular,0.0,0.0
16,92623016,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0913,0.0913,0.0211,0.0211,-0.0087,-0.0087,0.0,8.1616e-07,0.0332,0.0332,0.0287,0.0287,NaN,NA,0.0,6.6612e-13,False,False,True,True,False,False,False,False,both_singular,0.0,0.0
17,92623017,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1948,0.1948,0.085,0.085,0.0948,0.0948,9.2033e-07,0.0,3.0835e-06,0.0,0.0,0.0,-1,NA,0.0,0.0,True,True,True,True,True,True,True,False,both_singular,0.0,0.0
17,92623017,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1948,0.1948,0.085,0.085,0.0948,0.0948,9.2033e-07,0.0,3.0835e-06,0.0,0.0,0.0,-1,NA,0.0,0.0,True,True,True,True,True,True,True,False,both_singular,0.0,0.0
17,92623017,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1016,0.1018,0.021,0.0208,0.0016,0.0018,0.0475,0.0301,0.0287,1.9676e-07,0.0112,0.0108,-1,NA,0.0,3.8713e-14,False,True,False,False,False,False,True,False,both_singular,0.00020000000000000573,-0.00020000000000000226
17,92623017,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1012,0.1014,0.021,0.0208,0.0012,0.0014,0.0482,0.0311,0.0282,0.0,0.0057,0.0045,-1,NA,2.1684e-19,0.0,False,True,False,False,False,False,True,False,both_singular,0.00020000000000000573,-0.00020000000000000226
18,92623018,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.2096,0.2096,0.0851,0.0851,0.1096,0.1096,0.0,0.0,1.213e-07,0.0,0.115,0.115,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
18,92623018,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.2096,0.2096,0.0851,0.0851,0.1096,0.1096,0.0,0.0,1.213e-07,0.0,0.115,0.115,NaN,NA,0.0,0.0,True,True,True,True,False,False,False,False,both_singular,0.0,0.0
